商品名稱,留言網址,留言者,星等,留言時間,留言地點,SKU,留言內容,覺得留言有用人數
波西米亞風花朵襯衫女裝復古印花T恤野花圖案襯衫花園愛好者短袖上衣,https://www.amazon.com/-/zh_TW/%E6%B3%A2%E8%A5%BF%E7%B1%B3%E4%BA%9E%E9%A2%A8%E8%8A%B1%E6%9C%B5%E8%A5%AF%E8%A1%AB%E5%A5%B3%E8%A3%9D%E5%BE%A9%E5%8F%A4%E5%8D%B0%E8%8A%B1T%E6%81%A4%E9%87%8E%E8%8A%B1%E5%9C%96%E6%A1%88%E8%A5%AF%E8%A1%AB%E8%8A%B1%E5%9C%92%E6%84%9B%E5%A5%BD%E8%80%85%E7%9F%AD%E8%A2%96%E4%B8%8A%E8%A1%A3/product-reviews/B0CB3X9JY8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,That Mama Bear Lola,5.0,2024-01-02,美國,尺寸: X-Large顏色: 灰色,"
The design of this shirt is exactly as pictured. The sizing of the shirt is also true to size. I have washed this shirt a handful of times and the design and print have remained vibrant. Overall I would highly recommend this shirt.
",1
波西米亞風花朵襯衫女裝復古印花T恤野花圖案襯衫花園愛好者短袖上衣,https://www.amazon.com/-/zh_TW/%E6%B3%A2%E8%A5%BF%E7%B1%B3%E4%BA%9E%E9%A2%A8%E8%8A%B1%E6%9C%B5%E8%A5%AF%E8%A1%AB%E5%A5%B3%E8%A3%9D%E5%BE%A9%E5%8F%A4%E5%8D%B0%E8%8A%B1T%E6%81%A4%E9%87%8E%E8%8A%B1%E5%9C%96%E6%A1%88%E8%A5%AF%E8%A1%AB%E8%8A%B1%E5%9C%92%E6%84%9B%E5%A5%BD%E8%80%85%E7%9F%AD%E8%A2%96%E4%B8%8A%E8%A1%A3/product-reviews/B0CB3X9JY8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Cc76,4.0,2023-09-08,美國,尺寸: XX-Large顏色: 米色,"
I thought it was a printed on pattern but it has that rubbery feel to it which I don’t like personally.  Seems to be true to size.  Very soft once laundered.  Too short for leggings.  I’m short 5’3 and large around mid section.  I’m bust 38D, this is a size XL. I normally wear 14-16 so I would say this is true to size.  I would say the quality is good.  I washed it normal and hung to dry.  I would have given it 5 stars if the front pattern was printed on.
",2
波西米亞風花朵襯衫女裝復古印花T恤野花圖案襯衫花園愛好者短袖上衣,https://www.amazon.com/-/zh_TW/%E6%B3%A2%E8%A5%BF%E7%B1%B3%E4%BA%9E%E9%A2%A8%E8%8A%B1%E6%9C%B5%E8%A5%AF%E8%A1%AB%E5%A5%B3%E8%A3%9D%E5%BE%A9%E5%8F%A4%E5%8D%B0%E8%8A%B1T%E6%81%A4%E9%87%8E%E8%8A%B1%E5%9C%96%E6%A1%88%E8%A5%AF%E8%A1%AB%E8%8A%B1%E5%9C%92%E6%84%9B%E5%A5%BD%E8%80%85%E7%9F%AD%E8%A2%96%E4%B8%8A%E8%A1%A3/product-reviews/B0CB3X9JY8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Kande,5.0,2024-02-14,美國,尺寸: Medium顏色: 灰色,"
Nice shirt.
",0
波西米亞風花朵襯衫女裝復古印花T恤野花圖案襯衫花園愛好者短袖上衣,https://www.amazon.com/-/zh_TW/%E6%B3%A2%E8%A5%BF%E7%B1%B3%E4%BA%9E%E9%A2%A8%E8%8A%B1%E6%9C%B5%E8%A5%AF%E8%A1%AB%E5%A5%B3%E8%A3%9D%E5%BE%A9%E5%8F%A4%E5%8D%B0%E8%8A%B1T%E6%81%A4%E9%87%8E%E8%8A%B1%E5%9C%96%E6%A1%88%E8%A5%AF%E8%A1%AB%E8%8A%B1%E5%9C%92%E6%84%9B%E5%A5%BD%E8%80%85%E7%9F%AD%E8%A2%96%E4%B8%8A%E8%A1%A3/product-reviews/B0CB3X9JY8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Divher,3.0,2024-03-08,美國,尺寸: X-Large顏色: 灰色,"
The design is really pretty but ironed on with a weird feel. Shirt is soft, fabric not bad but it's extremely short. Not a longer more flattering fit, more like halfway between a standard length t shirt and a crop top. Very strange length.
",0
波西米亞風花朵襯衫女裝復古印花T恤野花圖案襯衫花園愛好者短袖上衣,https://www.amazon.com/-/zh_TW/%E6%B3%A2%E8%A5%BF%E7%B1%B3%E4%BA%9E%E9%A2%A8%E8%8A%B1%E6%9C%B5%E8%A5%AF%E8%A1%AB%E5%A5%B3%E8%A3%9D%E5%BE%A9%E5%8F%A4%E5%8D%B0%E8%8A%B1T%E6%81%A4%E9%87%8E%E8%8A%B1%E5%9C%96%E6%A1%88%E8%A5%AF%E8%A1%AB%E8%8A%B1%E5%9C%92%E6%84%9B%E5%A5%BD%E8%80%85%E7%9F%AD%E8%A2%96%E4%B8%8A%E8%A1%A3/product-reviews/B0CB3X9JY8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Maggie,5.0,2024-04-04,美國,尺寸: Large顏色: 灰色,"
Washed and dried this shirt right away to see if it would shrink.  I wear a M/L I got a large.  Print was not affected by washing.  (Used cold wash dried medium heat inside out).  This shirt is wider, if you have a long torso, I wouldn’t recommend this shirt. I knot my tee to make it more fitting.
",0
波西米亞風花朵襯衫女裝復古印花T恤野花圖案襯衫花園愛好者短袖上衣,https://www.amazon.com/-/zh_TW/%E6%B3%A2%E8%A5%BF%E7%B1%B3%E4%BA%9E%E9%A2%A8%E8%8A%B1%E6%9C%B5%E8%A5%AF%E8%A1%AB%E5%A5%B3%E8%A3%9D%E5%BE%A9%E5%8F%A4%E5%8D%B0%E8%8A%B1T%E6%81%A4%E9%87%8E%E8%8A%B1%E5%9C%96%E6%A1%88%E8%A5%AF%E8%A1%AB%E8%8A%B1%E5%9C%92%E6%84%9B%E5%A5%BD%E8%80%85%E7%9F%AD%E8%A2%96%E4%B8%8A%E8%A1%A3/product-reviews/B0CB3X9JY8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,mom n,5.0,2024-03-30,美國,尺寸: X-Large顏色: 粉紅色,"
Fits well and looks like spring.
",0
波西米亞風花朵襯衫女裝復古印花T恤野花圖案襯衫花園愛好者短袖上衣,https://www.amazon.com/-/zh_TW/%E6%B3%A2%E8%A5%BF%E7%B1%B3%E4%BA%9E%E9%A2%A8%E8%8A%B1%E6%9C%B5%E8%A5%AF%E8%A1%AB%E5%A5%B3%E8%A3%9D%E5%BE%A9%E5%8F%A4%E5%8D%B0%E8%8A%B1T%E6%81%A4%E9%87%8E%E8%8A%B1%E5%9C%96%E6%A1%88%E8%A5%AF%E8%A1%AB%E8%8A%B1%E5%9C%92%E6%84%9B%E5%A5%BD%E8%80%85%E7%9F%AD%E8%A2%96%E4%B8%8A%E8%A1%A3/product-reviews/B0CB3X9JY8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Sandy Ru,4.0,2024-04-17,美國,尺寸: X-Large顏色: 米色,"
This shirt was more orang than pictured. The decal was thick plastic.
",0
波西米亞風花朵襯衫女裝復古印花T恤野花圖案襯衫花園愛好者短袖上衣,https://www.amazon.com/-/zh_TW/%E6%B3%A2%E8%A5%BF%E7%B1%B3%E4%BA%9E%E9%A2%A8%E8%8A%B1%E6%9C%B5%E8%A5%AF%E8%A1%AB%E5%A5%B3%E8%A3%9D%E5%BE%A9%E5%8F%A4%E5%8D%B0%E8%8A%B1T%E6%81%A4%E9%87%8E%E8%8A%B1%E5%9C%96%E6%A1%88%E8%A5%AF%E8%A1%AB%E8%8A%B1%E5%9C%92%E6%84%9B%E5%A5%BD%E8%80%85%E7%9F%AD%E8%A2%96%E4%B8%8A%E8%A1%A3/product-reviews/B0CB3X9JY8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Martha tandy,5.0,2023-12-17,美國,尺寸: X-Large顏色: 綠色,"
Quality shirt.
",0
波西米亞風花朵襯衫女裝復古印花T恤野花圖案襯衫花園愛好者短袖上衣,https://www.amazon.com/-/zh_TW/%E6%B3%A2%E8%A5%BF%E7%B1%B3%E4%BA%9E%E9%A2%A8%E8%8A%B1%E6%9C%B5%E8%A5%AF%E8%A1%AB%E5%A5%B3%E8%A3%9D%E5%BE%A9%E5%8F%A4%E5%8D%B0%E8%8A%B1T%E6%81%A4%E9%87%8E%E8%8A%B1%E5%9C%96%E6%A1%88%E8%A5%AF%E8%A1%AB%E8%8A%B1%E5%9C%92%E6%84%9B%E5%A5%BD%E8%80%85%E7%9F%AD%E8%A2%96%E4%B8%8A%E8%A1%A3/product-reviews/B0CB3X9JY8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Rachel Welden,3.0,2023-10-02,美國,尺寸: Small顏色: 灰色,"
This t-shirt is soft. The pattern is very pretty, but it is shiny and has a plastic feel to it. I thought it was printed on, but it seems like a sticker, which in my opinion, gives it a cheap look. I would be concerned about it pealing over time. Sadly, I am returning it.
",1
波西米亞風花朵襯衫女裝復古印花T恤野花圖案襯衫花園愛好者短袖上衣,https://www.amazon.com/-/zh_TW/%E6%B3%A2%E8%A5%BF%E7%B1%B3%E4%BA%9E%E9%A2%A8%E8%8A%B1%E6%9C%B5%E8%A5%AF%E8%A1%AB%E5%A5%B3%E8%A3%9D%E5%BE%A9%E5%8F%A4%E5%8D%B0%E8%8A%B1T%E6%81%A4%E9%87%8E%E8%8A%B1%E5%9C%96%E6%A1%88%E8%A5%AF%E8%A1%AB%E8%8A%B1%E5%9C%92%E6%84%9B%E5%A5%BD%E8%80%85%E7%9F%AD%E8%A2%96%E4%B8%8A%E8%A1%A3/product-reviews/B0CB3X9JY8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,CrafteeMaggee,5.0,2024-01-16,美國,尺寸: Large顏色: 灰色,"
Love it!
",0
波西米亞風花朵襯衫女裝復古印花T恤野花圖案襯衫花園愛好者短袖上衣,https://www.amazon.com/-/zh_TW/%E6%B3%A2%E8%A5%BF%E7%B1%B3%E4%BA%9E%E9%A2%A8%E8%8A%B1%E6%9C%B5%E8%A5%AF%E8%A1%AB%E5%A5%B3%E8%A3%9D%E5%BE%A9%E5%8F%A4%E5%8D%B0%E8%8A%B1T%E6%81%A4%E9%87%8E%E8%8A%B1%E5%9C%96%E6%A1%88%E8%A5%AF%E8%A1%AB%E8%8A%B1%E5%9C%92%E6%84%9B%E5%A5%BD%E8%80%85%E7%9F%AD%E8%A2%96%E4%B8%8A%E8%A1%A3/product-reviews/B0CB3X9JY8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,That Mama Bear Lola,5.0,2024-01-02,美國,尺寸: X-Large顏色: 灰色,"
The design of this shirt is exactly as pictured. The sizing of the shirt is also true to size. I have washed this shirt a handful of times and the design and print have remained vibrant. Overall I would highly recommend this shirt.
",1
波西米亞風花朵襯衫女裝復古印花T恤野花圖案襯衫花園愛好者短袖上衣,https://www.amazon.com/-/zh_TW/%E6%B3%A2%E8%A5%BF%E7%B1%B3%E4%BA%9E%E9%A2%A8%E8%8A%B1%E6%9C%B5%E8%A5%AF%E8%A1%AB%E5%A5%B3%E8%A3%9D%E5%BE%A9%E5%8F%A4%E5%8D%B0%E8%8A%B1T%E6%81%A4%E9%87%8E%E8%8A%B1%E5%9C%96%E6%A1%88%E8%A5%AF%E8%A1%AB%E8%8A%B1%E5%9C%92%E6%84%9B%E5%A5%BD%E8%80%85%E7%9F%AD%E8%A2%96%E4%B8%8A%E8%A1%A3/product-reviews/B0CB3X9JY8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Cc76,4.0,2023-09-08,美國,尺寸: XX-Large顏色: 米色,"
I thought it was a printed on pattern but it has that rubbery feel to it which I don’t like personally.  Seems to be true to size.  Very soft once laundered.  Too short for leggings.  I’m short 5’3 and large around mid section.  I’m bust 38D, this is a size XL. I normally wear 14-16 so I would say this is true to size.  I would say the quality is good.  I washed it normal and hung to dry.  I would have given it 5 stars if the front pattern was printed on.
",2
波西米亞風花朵襯衫女裝復古印花T恤野花圖案襯衫花園愛好者短袖上衣,https://www.amazon.com/-/zh_TW/%E6%B3%A2%E8%A5%BF%E7%B1%B3%E4%BA%9E%E9%A2%A8%E8%8A%B1%E6%9C%B5%E8%A5%AF%E8%A1%AB%E5%A5%B3%E8%A3%9D%E5%BE%A9%E5%8F%A4%E5%8D%B0%E8%8A%B1T%E6%81%A4%E9%87%8E%E8%8A%B1%E5%9C%96%E6%A1%88%E8%A5%AF%E8%A1%AB%E8%8A%B1%E5%9C%92%E6%84%9B%E5%A5%BD%E8%80%85%E7%9F%AD%E8%A2%96%E4%B8%8A%E8%A1%A3/product-reviews/B0CB3X9JY8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Kande,5.0,2024-02-14,美國,尺寸: Medium顏色: 灰色,"
Nice shirt.
",0
波西米亞風花朵襯衫女裝復古印花T恤野花圖案襯衫花園愛好者短袖上衣,https://www.amazon.com/-/zh_TW/%E6%B3%A2%E8%A5%BF%E7%B1%B3%E4%BA%9E%E9%A2%A8%E8%8A%B1%E6%9C%B5%E8%A5%AF%E8%A1%AB%E5%A5%B3%E8%A3%9D%E5%BE%A9%E5%8F%A4%E5%8D%B0%E8%8A%B1T%E6%81%A4%E9%87%8E%E8%8A%B1%E5%9C%96%E6%A1%88%E8%A5%AF%E8%A1%AB%E8%8A%B1%E5%9C%92%E6%84%9B%E5%A5%BD%E8%80%85%E7%9F%AD%E8%A2%96%E4%B8%8A%E8%A1%A3/product-reviews/B0CB3X9JY8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Divher,3.0,2024-03-08,美國,尺寸: X-Large顏色: 灰色,"
The design is really pretty but ironed on with a weird feel. Shirt is soft, fabric not bad but it's extremely short. Not a longer more flattering fit, more like halfway between a standard length t shirt and a crop top. Very strange length.
",0
波西米亞風花朵襯衫女裝復古印花T恤野花圖案襯衫花園愛好者短袖上衣,https://www.amazon.com/-/zh_TW/%E6%B3%A2%E8%A5%BF%E7%B1%B3%E4%BA%9E%E9%A2%A8%E8%8A%B1%E6%9C%B5%E8%A5%AF%E8%A1%AB%E5%A5%B3%E8%A3%9D%E5%BE%A9%E5%8F%A4%E5%8D%B0%E8%8A%B1T%E6%81%A4%E9%87%8E%E8%8A%B1%E5%9C%96%E6%A1%88%E8%A5%AF%E8%A1%AB%E8%8A%B1%E5%9C%92%E6%84%9B%E5%A5%BD%E8%80%85%E7%9F%AD%E8%A2%96%E4%B8%8A%E8%A1%A3/product-reviews/B0CB3X9JY8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Maggie,5.0,2024-04-04,美國,尺寸: Large顏色: 灰色,"
Washed and dried this shirt right away to see if it would shrink.  I wear a M/L I got a large.  Print was not affected by washing.  (Used cold wash dried medium heat inside out).  This shirt is wider, if you have a long torso, I wouldn’t recommend this shirt. I knot my tee to make it more fitting.
",0
