商品名稱,留言網址,留言者,星等,留言時間,留言地點,SKU,留言內容,覺得留言有用人數
MAYAMANG 女款 花卉 長版 上衣 休閒 襯衫 V領 短袖 鈕扣 T恤,https://www.amazon.com/-/zh_TW/MAYAMANG-%E5%A5%B3%E6%AC%BE-%E8%8A%B1%E5%8D%89-%E9%95%B7%E7%89%88-%E4%B8%8A%E8%A1%A3/product-reviews/B087CXD6XK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amazon Customer,5.0,2024-03-12,美國,顏色: S-w+條紋黑色尺寸: XX-Large,"
very soft and true to color and size worth buying
",0
MAYAMANG 女款 花卉 長版 上衣 休閒 襯衫 V領 短袖 鈕扣 T恤,https://www.amazon.com/-/zh_TW/MAYAMANG-%E5%A5%B3%E6%AC%BE-%E8%8A%B1%E5%8D%89-%E9%95%B7%E7%89%88-%E4%B8%8A%E8%A1%A3/product-reviews/B087CXD6XK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Rena L. Jackson,5.0,2024-04-01,美國,顏色: S-紅玫瑰尺寸: 3X-Large,"
This shirt is beautiful and it fits well.
",0
MAYAMANG 女款 花卉 長版 上衣 休閒 襯衫 V領 短袖 鈕扣 T恤,https://www.amazon.com/-/zh_TW/MAYAMANG-%E5%A5%B3%E6%AC%BE-%E8%8A%B1%E5%8D%89-%E9%95%B7%E7%89%88-%E4%B8%8A%E8%A1%A3/product-reviews/B087CXD6XK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Jen Martinez,4.0,2023-12-05,美國,顏色: 紮染圓形綠色尺寸: XX-Large,"
A little big but that may be my fault on sizing. It was ok for tie dye day at work
",0
MAYAMANG 女款 花卉 長版 上衣 休閒 襯衫 V領 短袖 鈕扣 T恤,https://www.amazon.com/-/zh_TW/MAYAMANG-%E5%A5%B3%E6%AC%BE-%E8%8A%B1%E5%8D%89-%E9%95%B7%E7%89%88-%E4%B8%8A%E8%A1%A3/product-reviews/B087CXD6XK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amazon Customer,5.0,2024-04-11,美國,顏色: 紮染紫色尺寸: XX-Large,"
I Love the colors and it is Sooooo comfy. ❤️❤️❤️
",0
MAYAMANG 女款 花卉 長版 上衣 休閒 襯衫 V領 短袖 鈕扣 T恤,https://www.amazon.com/-/zh_TW/MAYAMANG-%E5%A5%B3%E6%AC%BE-%E8%8A%B1%E5%8D%89-%E9%95%B7%E7%89%88-%E4%B8%8A%E8%A1%A3/product-reviews/B087CXD6XK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,A. Ski,3.0,2022-06-20,美國,顏色: 紫色尺寸: X-Large,"
I liked the length of the shirt. Some manufacturers forget that some women still want to cover their but. This one had good coverage. Im 5’2” I usually wear size 14-16 (depending on the name brand). I bought the xl. It was flattering. Fit good. The purple is pretty. There was something about this shirt that gave me an old lady vibe when I put it on. Maybe the flowers? The color? Or it’s made of a thick polyester. I wore it once and although it was stretchy and comfortable it was also extremely warm. If it was a cotton blend It would probably be okay for me. I’ve had plenty of opportunities to wear it again and I keep passing to something else in my closet. I did not return it since my husband and teen daughter (who is usually brutally honest) both said it was nice on me. If I had to ask if it made me look old then I probably should’ve just returned it.
",5
MAYAMANG 女款 花卉 長版 上衣 休閒 襯衫 V領 短袖 鈕扣 T恤,https://www.amazon.com/-/zh_TW/MAYAMANG-%E5%A5%B3%E6%AC%BE-%E8%8A%B1%E5%8D%89-%E9%95%B7%E7%89%88-%E4%B8%8A%E8%A1%A3/product-reviews/B087CXD6XK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Kathleen Wagner,5.0,2024-03-07,美國,顏色: 小波點-白色尺寸: X-Large,"
The blouse is so pretty I love the material and the way it fits. I’m going online again to get a couple other ones.
",0
MAYAMANG 女款 花卉 長版 上衣 休閒 襯衫 V領 短袖 鈕扣 T恤,https://www.amazon.com/-/zh_TW/MAYAMANG-%E5%A5%B3%E6%AC%BE-%E8%8A%B1%E5%8D%89-%E9%95%B7%E7%89%88-%E4%B8%8A%E8%A1%A3/product-reviews/B087CXD6XK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,MOLLY,1.0,2024-04-07,美國,,"
This blouse was a total disappointment! The fabric was cheap looking/feeling, shirt was much shorter than the image… just a total loss. I would never wear it and I can’t even gift it because of how it looks! Another 1/4 of $100 down the drain, super disappointed over here.
",1
MAYAMANG 女款 花卉 長版 上衣 休閒 襯衫 V領 短袖 鈕扣 T恤,https://www.amazon.com/-/zh_TW/MAYAMANG-%E5%A5%B3%E6%AC%BE-%E8%8A%B1%E5%8D%89-%E9%95%B7%E7%89%88-%E4%B8%8A%E8%A1%A3/product-reviews/B087CXD6XK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Shari Beller,5.0,2024-03-31,美國,顏色: 綠色+藍色尺寸: X-Large,"
Style and flow are great
",0
MAYAMANG 女款 花卉 長版 上衣 休閒 襯衫 V領 短袖 鈕扣 T恤,https://www.amazon.com/-/zh_TW/MAYAMANG-%E5%A5%B3%E6%AC%BE-%E8%8A%B1%E5%8D%89-%E9%95%B7%E7%89%88-%E4%B8%8A%E8%A1%A3/product-reviews/B087CXD6XK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Rose B.,4.0,2024-04-01,美國,顏色: 紫色尺寸: Medium,"
I was happy with the top but it is not the best quality
",0
MAYAMANG 女款 花卉 長版 上衣 休閒 襯衫 V領 短袖 鈕扣 T恤,https://www.amazon.com/-/zh_TW/MAYAMANG-%E5%A5%B3%E6%AC%BE-%E8%8A%B1%E5%8D%89-%E9%95%B7%E7%89%88-%E4%B8%8A%E8%A1%A3/product-reviews/B087CXD6XK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Gillf,4.0,2024-03-07,美國,顏色: 短小花卉藍尺寸: X-Large,"
Used for travel & as pure polyester did not wrinkle. Would have preferred a blend so will check fabric content next time.
",0
